
2024/11/01 (21:53:28) | ===> btop++ v.1.4.0
2024/11/01 (21:53:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:06:37) | ===> btop++ v.1.4.0
2024/11/01 (22:06:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:06:42) | ===> btop++ v.1.4.0
2024/11/01 (22:06:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:06:57) | ===> btop++ v.1.4.0
2024/11/01 (22:06:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:07:15) | ===> btop++ v.1.4.0
2024/11/01 (22:07:15) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:07:52) | ===> btop++ v.1.4.0
2024/11/01 (22:07:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:07:53) | ===> btop++ v.1.4.0
2024/11/01 (22:07:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:07:54) | ===> btop++ v.1.4.0
2024/11/01 (22:07:54) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:07:55) | ===> btop++ v.1.4.0
2024/11/01 (22:07:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:08:09) | ===> btop++ v.1.4.0
2024/11/01 (22:08:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:13:04) | ===> btop++ v.1.4.0
2024/11/01 (22:13:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:13:41) | ===> btop++ v.1.4.0
2024/11/01 (22:13:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:14:30) | ===> btop++ v.1.4.0
2024/11/01 (22:14:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/01 (22:46:41) | ===> btop++ v.1.4.0
2024/11/01 (22:46:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/03 (20:11:48) | ===> btop++ v.1.4.0
2025/02/03 (20:11:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
